repo,commit,description,changed_files,naive_tokens,standard_tokens,graph_tokens,naive_to_graph_ratio,standard_to_graph_ratio
nextjs,528801f841e519567ef54d6e52e9b9831d162e1b,feat: add multi-platform MCP server installation support,3,13566,4147,1481,9.2,2.8
nextjs,84bde35459c52e1e0c4b25c6c4799743021e0fc7,feat: add Google Antigravity platform support for MCP install,2,10596,394,1007,10.5,0.4
